               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040439,            0.010659,           0.0038184,              0.5218,             0.53155,             0.53098,             0.21085,            0.048889,           0.0086949,           0.0070962,            0.008425,            0.008425,            0.008425
                  37,            0.036932,            0.010184,           0.0035757,             0.42756,             0.32064,             0.39071,             0.14859,            0.055911,           0.0084327,           0.0076003,             0.00838,             0.00838,             0.00838
                  38,            0.039036,           0.0099779,           0.0039185,             0.38011,             0.34429,              0.4591,             0.18009,            0.044525,           0.0092364,           0.0076801,            0.008335,            0.008335,            0.008335
                  39,            0.038092,            0.009843,           0.0034215,             0.31403,             0.57758,             0.37967,             0.11332,            0.048121,           0.0092085,            0.011077,             0.00829,             0.00829,             0.00829
                  40,            0.038167,            0.010116,           0.0037288,             0.58365,              0.7038,              0.6077,             0.22212,            0.044318,           0.0082266,            0.005098,            0.008245,            0.008245,            0.008245
                  41,            0.038126,           0.0099147,           0.0032468,             0.31059,              0.6075,             0.45491,             0.16156,            0.049099,           0.0085216,           0.0066988,              0.0082,              0.0082,              0.0082
                  42,            0.037554,           0.0099072,           0.0036706,             0.43525,             0.58533,             0.52317,             0.24529,            0.044892,           0.0091014,           0.0087325,            0.008155,            0.008155,            0.008155
                  43,            0.036899,            0.009854,           0.0029339,             0.84403,             0.27701,              0.5309,             0.22065,            0.042249,           0.0089724,           0.0053118,             0.00811,             0.00811,             0.00811
                  44,            0.037313,           0.0097268,           0.0035281,             0.52218,             0.52669,             0.48522,             0.16251,            0.053742,           0.0089671,           0.0061077,            0.008065,            0.008065,            0.008065
                  45,            0.036852,           0.0094276,           0.0032572,              0.5139,              0.4799,             0.49293,             0.16574,            0.046884,           0.0082229,           0.0069848,             0.00802,             0.00802,             0.00802
                  46,            0.036846,           0.0093276,           0.0033102,             0.59827,             0.68888,              0.7103,              0.2869,            0.044286,           0.0085045,           0.0067174,            0.007975,            0.007975,            0.007975
                  47,            0.034614,           0.0094292,           0.0029983,             0.69904,             0.65194,             0.66407,              0.2384,            0.043519,           0.0082701,            0.004972,             0.00793,             0.00793,             0.00793
                  48,            0.035027,           0.0094427,           0.0033432,             0.54126,              0.5116,             0.50093,             0.16769,            0.054177,           0.0087136,            0.006289,            0.007885,            0.007885,            0.007885
                  49,             0.03478,           0.0094449,           0.0030711,             0.35665,             0.54716,             0.46402,             0.15129,            0.049481,           0.0088441,           0.0065926,             0.00784,             0.00784,             0.00784
                  50,            0.034371,           0.0088985,           0.0029225,             0.54634,             0.40731,             0.41883,             0.12519,            0.055389,           0.0089466,           0.0052728,            0.007795,            0.007795,            0.007795
                  51,            0.035119,           0.0089788,           0.0031346,              0.5753,             0.27917,             0.33904,             0.10812,              0.0434,             0.00902,           0.0061924,             0.00775,             0.00775,             0.00775
                  52,            0.035581,           0.0093874,           0.0034106,             0.54528,             0.59274,              0.5824,             0.22758,            0.045446,           0.0085856,           0.0043018,            0.007705,            0.007705,            0.007705
