               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
36,0.040176,0.0096635,0.0045169,0.0543564,0.57181,0.49726,0.50741,0.14925,0.039154,0.008379,0.0070341,0.008425,0.008425,0.008425
37,0.039297,0.010118,0.0045067,0.0539217,0.47172,0.67105,0.53855,0.22827,0.034407,0.0078768,0.0053151,0.00838,0.00838,0.00838
38,0.038049,0.0095527,0.0039908,0.0515925,0.50518,0.22917,0.30621,0.10564,0.037311,0.0084683,0.0087816,0.008335,0.008335,0.008335
39,0.039077,0.0092741,0.00387,0.0522211,0.80932,0.39142,0.54701,0.2227,0.038062,0.0092767,0.0087687,0.00829,0.00829,0.00829
40,0.039193,0.0094267,0.0037542,0.0523739,0.62503,0.60703,0.58897,0.2153,0.03514,0.0080597,0.0078894,0.008245,0.008245,0.008245
41,0.038361,0.0095593,0.0036447,0.051565,0.50384,0.65933,0.5691,0.19695,0.034327,0.0077865,0.0078665,0.0082,0.0082,0.0082
42,0.036869,0.0092483,0.0037433,0.0498606,0.54335,0.59113,0.57144,0.18556,0.036061,0.0085992,0.0053776,0.008155,0.008155,0.008155
43,0.037372,0.0092358,0.0037466,0.0503544,0.61798,0.58388,0.5763,0.24774,0.035369,0.0087866,0.0083428,0.00811,0.00811,0.00811
44,0.036966,0.0097638,0.0033623,0.0500921,0.542,0.62367,0.60402,0.20372,0.036945,0.0080562,0.0065726,0.008065,0.008065,0.008065
45,0.036403,0.0090959,0.0036668,0.0491657,0.5246,0.68053,0.61929,0.22494,0.035248,0.0083154,0.0040116,0.00802,0.00802,0.00802
46,0.036793,0.0088023,0.0034135,0.0490088,0.57691,0.5706,0.60299,0.24534,0.032812,0.0079121,0.0047082,0.007975,0.007975,0.007975
