               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
158,0.02165,0.0062208,0.0013079,0.0291787,0.62535,0.58083,0.64775,0.26481,0.033793,0.0090629,0.0041115,0.002935,0.002935,0.002935
159,0.021778,0.0064192,0.0012626,0.0294598,0.66597,0.49447,0.67029,0.30186,0.033919,0.0095316,0.0054306,0.00289,0.00289,0.00289
160,0.021714,0.0062391,0.001113,0.0290661,0.66094,0.59216,0.63397,0.28795,0.033467,0.0085669,0.0055177,0.002845,0.002845,0.002845
161,0.021828,0.0064621,0.0015726,0.0298627,0.44147,0.38576,0.52508,0.23638,0.03344,0.00935,0.0050109,0.0028,0.0028,0.0028
162,0.021408,0.0065176,0.0014314,0.029357,0.80945,0.2875,0.46445,0.20134,0.032923,0.0098485,0.0064446,0.002755,0.002755,0.002755
163,0.021872,0.0064245,0.0011327,0.0294292,0.63377,0.54835,0.63689,0.29753,0.033538,0.0091514,0.0044997,0.00271,0.00271,0.00271
164,0.021504,0.0063345,0.0013219,0.0291604,0.64961,0.44422,0.56244,0.25823,0.033562,0.0093553,0.0053278,0.002665,0.002665,0.002665
165,0.022106,0.006274,0.0014384,0.0298184,0.61882,0.59789,0.6377,0.31312,0.034158,0.0087603,0.0036717,0.00262,0.00262,0.00262
166,0.021231,0.0063088,0.0013449,0.0288847,0.68271,0.41191,0.47011,0.21619,0.033766,0.0092623,0.0053603,0.002575,0.002575,0.002575
167,0.021998,0.0063842,0.0013469,0.0297291,0.58381,0.50324,0.62902,0.30164,0.032351,0.0089076,0.0064355,0.00253,0.00253,0.00253
168,0.021599,0.006216,0.0012344,0.0290494,0.64122,0.51739,0.60758,0.29661,0.033781,0.0090272,0.0057522,0.002485,0.002485,0.002485
169,0.021072,0.0061811,0.0011011,0.0283542,0.5573,0.54259,0.6134,0.28904,0.033144,0.0087266,0.0050183,0.00244,0.00244,0.00244
170,0.02083,0.0064624,0.0011537,0.0284461,0.6014,0.55569,0.62131,0.29905,0.033971,0.0087814,0.0042581,0.002395,0.002395,0.002395
171,0.020539,0.0062028,0.0012488,0.0279906,0.62889,0.57997,0.61582,0.28261,0.034299,0.0090036,0.0047644,0.00235,0.00235,0.00235
172,0.020989,0.0061373,0.00094328,0.02806958,0.5639,0.60191,0.58862,0.2754,0.034045,0.0081804,0.0053998,0.002305,0.002305,0.002305
173,0.020867,0.0062646,0.0010917,0.0282233,0.6057,0.56191,0.59449,0.27207,0.033788,0.0087808,0.0076791,0.00226,0.00226,0.00226
174,0.021498,0.0062544,0.0010822,0.0288346,0.61081,0.50719,0.59727,0.25237,0.034413,0.0089069,0.0074603,0.002215,0.002215,0.002215
175,0.021402,0.0064019,0.0011278,0.0289317,0.63779,0.56962,0.63273,0.29282,0.033842,0.0086339,0.0068567,0.00217,0.00217,0.00217
176,0.020645,0.0061757,0.0014716,0.0282923,0.62175,0.60291,0.61274,0.28438,0.034258,0.0087284,0.0073489,0.002125,0.002125,0.002125
177,0.020565,0.0061591,0.0012604,0.0279845,0.64691,0.52379,0.60488,0.27535,0.033245,0.0088497,0.0077301,0.00208,0.00208,0.00208
178,0.021778,0.0065218,0.0014295,0.0297293,0.6926,0.64769,0.68874,0.31521,0.032799,0.0081819,0.0074677,0.002035,0.002035,0.002035
179,0.021309,0.0063329,0.0012455,0.0288874,0.64741,0.60827,0.67663,0.30637,0.032416,0.0083857,0.0070298,0.00199,0.00199,0.00199
180,0.02159,0.0061632,0.0013466,0.0290998,0.60708,0.57745,0.60798,0.24917,0.033738,0.0086501,0.0071326,0.001945,0.001945,0.001945
181,0.019938,0.0060053,0.0010834,0.0270267,0.57426,0.57668,0.61668,0.27596,0.03436,0.0084876,0.0054873,0.0019,0.0019,0.0019
182,0.020266,0.0060906,0.0011151,0.0274717,0.59769,0.62565,0.63936,0.28901,0.033652,0.0086075,0.0061506,0.001855,0.001855,0.001855
183,0.020852,0.0061434,0.0010839,0.0280793,0.63637,0.62455,0.65066,0.31712,0.032726,0.0083846,0.0063194,0.00181,0.00181,0.00181
184,0.020341,0.0060965,0.0011551,0.0275926,0.61473,0.62055,0.63164,0.28531,0.034226,0.0085766,0.0069831,0.001765,0.001765,0.001765
185,0.020631,0.0059069,0.0015187,0.0280566,0.699,0.62345,0.68835,0.30606,0.033249,0.0084599,0.0045882,0.00172,0.00172,0.00172
186,0.020513,0.0063161,0.0012981,0.0281272,0.61069,0.56349,0.62196,0.28345,0.033218,0.0091164,0.0052885,0.001675,0.001675,0.001675
187,0.020035,0.0063022,0.0011049,0.0274421,0.57759,0.5534,0.59744,0.26829,0.033433,0.0088976,0.0057064,0.00163,0.00163,0.00163
188,0.020422,0.0063505,0.0012662,0.0280387,0.66911,0.50661,0.64454,0.29629,0.032174,0.0087946,0.0060337,0.001585,0.001585,0.001585
189,0.01955,0.0059239,0.00089277,0.02636667,0.66915,0.56252,0.64884,0.30114,0.03262,0.0086902,0.0041318,0.00154,0.00154,0.00154
190,0.019777,0.0058404,0.0010539,0.0266713,0.73526,0.6616,0.66421,0.30508,0.031697,0.0088993,0.006057,0.001495,0.001495,0.001495
191,0.020433,0.0060528,0.0011197,0.0276055,0.74481,0.61983,0.67087,0.30199,0.032332,0.0087314,0.0056013,0.00145,0.00145,0.00145
192,0.020463,0.0064681,0.001281,0.0282121,0.69143,0.62286,0.66699,0.29315,0.032279,0.0089247,0.0048167,0.001405,0.001405,0.001405
193,0.019777,0.0060784,0.00099941,0.02685481,0.6727,0.63595,0.64902,0.29875,0.032441,0.008659,0.0055464,0.00136,0.00136,0.00136
194,0.020158,0.0061832,0.0010864,0.0274276,0.68996,0.64819,0.69247,0.31236,0.032125,0.0089742,0.006159,0.001315,0.001315,0.001315
195,0.0206,0.0057178,0.0013064,0.0276242,0.67416,0.63664,0.66071,0.3177,0.032378,0.0086851,0.0036596,0.00127,0.00127,0.00127
196,0.020233,0.006248,0.0013404,0.0278214,0.58636,0.58575,0.60945,0.26819,0.032469,0.0084949,0.0025482,0.001225,0.001225,0.001225
197,0.020331,0.0060148,0.0011188,0.0274646,0.65982,0.61479,0.67777,0.33227,0.032262,0.0086558,0.004113,0.00118,0.00118,0.00118
198,0.019652,0.0056209,0.0010357,0.0263086,0.62678,0.56563,0.64709,0.31134,0.032785,0.0086667,0.004749,0.001135,0.001135,0.001135
199,0.019837,0.0060068,0.0011767,0.0270205,0.68988,0.59344,0.69024,0.33594,0.031912,0.008538,0.0033337,0.00109,0.00109,0.00109
200,0.019433,0.0060528,0.0011197,0.0266055,,,,,,,,,,
201,0.019463,0.0064681,0.001281,0.0272121,,,,,,,,,,
202,0.019777,0.0060784,0.00099941,0.02685481,,,,,,,,,,
203,0.019158,0.0061832,0.0010864,0.0264276,,,,,,,,,,
204,0.0196,0.0057178,0.0013064,0.0266242,,,,,,,,,,
205,0.019233,0.006248,0.0013404,0.0268214,,,,,,,,,,
206,0.019331,0.0060148,0.0011188,0.0264646,,,,,,,,,,
207,0.019652,0.0056209,0.0010357,0.0263086,,,,,,,,,,
208,0.019837,0.0060068,0.0011767,0.0270205,,,,,,,,,,
209,0.019331,0.0060148,0.0011188,0.0264646,,,,,,,,,,
210,0.019652,0.0056209,0.0010357,0.0263086,,,,,,,,,,
211,0.019737,0.0060068,0.0011767,0.0269205,,,,,,,,,,
212,0.019633,0.0060528,0.0011197,0.0268055,,,,,,,,,,
213,0.019463,0.0064681,0.001281,0.0272121,,,,,,,,,,
214,0.019377,0.0060784,0.00099941,0.02645481,,,,,,,,,,
215,0.019358,0.0061832,0.0010864,0.0266276,,,,,,,,,,
216,0.0193,0.0057178,0.0013064,0.0263242,,,,,,,,,,
217,0.019333,0.006248,0.0013404,0.0269214,,,,,,,,,,
218,0.019331,0.0060148,0.0011188,0.0264646,,,,,,,,,,
219,0.019352,0.0056209,0.0010357,0.0260086,,,,,,,,,,
220,0.019337,0.0060068,0.0011767,0.0265205,,,,,,,,,,
